Title,Price,Location,Price_cleaned,Rooms,Area,Area_from_title,District
Продается  Учтепа 23 квартал 2/1/5  40 м2  (Гулшен 116647),59 000 у.е.,"Toshkent, Uchtepa tumani - Bugunda 06:54",59000.0,,23.0,23.0,Uchtepa
Самая красивая квартира NRG U-Tower 126 м2 Продаётся 3-х комнатная,660 000 у.е.Kelishilgan,"Toshkent, Shayxontohur tumani - Bugunda 06:54",660000.0,,126.0,126.0,Shayxontohur
"продается квартира 110 кв новостройка, алмазарский р, сагбон 3 комнаты",115 000 у.е.Kelishilgan,"Toshkent, Olmazor tumani - Bugunda 06:41",115000.0,,110.0,110.0,Olmazor
"Скидка 15%! 2-комн. 44 м² у метро, ипотека от 8 млн. Дом готов (XS)",648 962 462 so’m,"Toshkent, Yashnobod tumani - Bugunda 06:54",648962462.0,,44.0,44.0,Yashnobod
Продаётся 3ком ЖК Infinity 71м2 ор-р: Садык Азимова,245 000 у.е.Kelishilgan,"Toshkent, Mirobod tumani - Bugunda 06:53",245000.0,,71.0,71.0,Mirobod
Продается 1/2 квартра на Чиланзаре 6 квартал,59 500 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - 04/02/2026",59500.0,,2.0,2.0,Chilonzor
Сергили 10- Худуд 3/10/16 68м2 С мебелю техникой евро ремонт Срочна,66 000 у.е.,"Toshkent, Sirg‘ali tumani - Bugunda 06:52",66000.0,,68.0,68.0,Boshqa
ГАБУС 4х комнатная 213м² Ц-6 Элитный комплекс + паркинг,295 000 у.е.Kelishilgan,"Toshkent, Yunusobod tumani - 03/02/2026",295000.0,,213.0,213.0,Yunusobod
PARK CITY 75kv (Kadastrli),115 000 у.е.,"Toshkent, Olmazor tumani - 03/02/2026",115000.0,,75.0,75.0,Olmazor
Уютная 1-комн. 30 м² | 7/16 | Новый дом | Метро рядом  | Ипотека есть,16 600 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:51",16600.0,,30.0,30.0,Mirzo-Ulug‘bek
Никитина резиденс 2/6/9 с кадастром 66м2,77 500 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:51",77500.0,,66.0,66.0,Mirzo-Ulug‘bek
"Квартира стадион Старт Ул. Новомосковская 3/5/5 54,6 кв.м",128 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:50",128000.0,,54.6,54.6,Mirzo-Ulug‘bek
NRG U-Tower 85м2 Продаётся 3-х комнатная квартира Дружба,425 000 у.е.Kelishilgan,"Toshkent, Shayxontohur tumani - Bugunda 06:50",425000.0,,85.0,85.0,Shayxontohur
"Продаётся КВАРТИРА 3/4/4 на 72м2 Ц-1, Дом композиторов, Ген прокуратур",135 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:49",135000.0,,72.0,72.0,Mirzo-Ulug‘bek
Чиланзарском 17 кв 3 комнатная,82 000 у.е.Kelishilgan,"Toshkent, Chilonzor tumani - Bugunda 06:49",82000.0,,17.0,17.0,Chilonzor
Sergeli 7 Seven Residence 4 hona 115kv.,140 000 у.е.Kelishilgan,"Toshkent, Sirg‘ali tumani - Bugunda 06:49",140000.0,,115.0,115.0,Boshqa
Квартира Массив Феруза 2/6/6 43 кв.м,75 000 у.е.,"Toshkent, Mirzo-Ulug‘bek tumani - Bugunda 06:49",75000.0,,43.0,43.0,Mirzo-Ulug‘bek
Квартира Ж/К New Life 4/2/10 112 кв.м,225 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 06:49",225000.0,,112.0,112.0,Yashnobod
Квартира Ж/К New Life 4/2/10 92 кв.м,215 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 06:49",215000.0,,92.0,92.0,Yashnobod
Квартира Ж/К New Life 3/2/10 62 кв.м,140 000 у.е.,"Toshkent, Yashnobod tumani - Bugunda 06:48",140000.0,,62.0,62.0,Yashnobod
